State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Illinois,17,16,22,28,33,36,55,74,80,84,82,86,85,89,91
Indiana,11,12,13,16,21,26,40,59,78,79,83,85,84,85,88
Iowa,30,32,41,45,54,60,64,78,84,86,90,90,91,91,95
Kansas,33,38,43,47,54,63,68,82,90,91,90,92,90,91,95
Michigan,12,17,22,35,33,40,44,60,72,75,80,87,86,90,93
Minnesota,37,36,44,53,63,66,73,86,88,88,92,93,88,91,93
Missouri,28,32,34,42,49,55,59,62,70,77,79,85,86,92,93
Nebraska,34,34,46,52,60,69,76,79,86,91,91,93,91,93,96
North Dakota,0,0,0,0,0,75,83,88,89,93,93,97,96,94,96
Ohio,9,11,9,9,13,18,26,41,66,67,71,74,76,85,86
South Dakota,48,47,66,75,79,83,86,93,95,96,95,96,94,96,97
Texas,0,0,0,0,0,72,77,79,78,84,85,88,85,89,91
Wisconsin,18,18,26,32,38,46,50,64,75,77,80,86,86,84,92
Other States,17,20,27,36,46,44,55,67,74,78,82,86,85,88,91
U.S.,25,26,34,40,47,52,61,73,80,85,86,88,88,90,93
