State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Illinois,3,3,3,4,5,6,12,15,15,15,15,17,18,7,5
Indiana,4,6,6,7,8,11,15,17,16,17,20,22,15,10,8
Iowa,5,6,7,8,10,14,14,19,15,15,14,16,15,14,8
Kansas,7,11,15,17,24,30,33,36,30,29,28,22,19,15,18
Michigan,4,7,8,14,14,20,18,22,24,20,25,24,26,15,15
Minnesota,7,7,11,15,17,22,29,32,29,24,28,29,22,10,10
Missouri,6,8,6,9,13,12,14,19,21,17,19,22,20,16,10
Nebraska,8,8,9,11,13,18,24,23,24,23,24,26,20,13,15
North Dakota ,0,0,0,0,0,39,34,37,34,30,34,32,36,20,22
Ohio,3,4,3,3,4,7,13,12,17,17,22,13,20,16,14
South Dakota,11,14,23,24,30,31,32,34,30,25,29,25,23,12,14
Texas,0,0,0,0,0,42,37,37,31,30,27,24,21,20,17
Wisconsin,4,6,9,9,14,18,18,23,26,27,29,27,23,18,17
Other States,6,8,12,17,21,19,25,33,32,30,30,30,26,21,19
U.S.,6,7,9,11,14,17,21,24,23,22,23,23,21,14,13
