State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Illinois,1,1,1,1,2,5,19,40,52,59,52,55,53,78,83
Indiana,0,0,0,1,2,4,12,30,55,55,56,56,60,73,78
Iowa,2,1,3,4,8,11,18,37,53,57,61,61,64,72,83
Kansas,1,1,2,5,5,10,12,21,35,38,40,42,51,69,72
Michigan,0,2,2,3,4,5,10,19,33,42,44,52,52,71,76
Minnesota,2,4,4,7,11,11,16,28,40,41,46,48,47,78,81
Missouri,2,1,2,1,4,6,7,13,22,37,45,36,48,71,79
Nebraska,2,2,4,5,6,12,15,25,35,42,45,52,55,74,77
North Dakota,0,0,0,0,0,15,20,22,31,41,37,39,43,69,68
Ohio,0,0,0,0,1,2,5,20,37,35,36,37,43,63,69
South Dakota,2,3,10,17,21,22,34,43,58,65,60,64,62,82,80
Texas,0,0,0,0,0,9,13,20,27,33,40,42,44,53,62
Wisconsin,1,1,2,2,2,6,10,22,35,37,38,41,53,63,72
Other States,1,1,2,2,6,6,10,14,22,28,31,36,41,61,66
U.S.,1,1,2,4,6,9,15,28,40,46,47,49,52,71,76
